ticker,name,sector,index
SMCI,SUPER MICRO COMPUTER INC,Information Technology,Russell 2000
CHX,CHAMPIONX CORP,Energy,Russell 2000
GTLS,CHART INDUSTRIES INC,Industrials,Russell 2000
MTDR,MATADOR RESOURCES,Energy,Russell 2000
LNW,LIGHT WONDER INC,Consumer Discretionary,Russell 2000
MUR,MURPHY OIL CORP,Energy,Russell 2000
WFRD,WEATHERFORD INTERNATIONAL PLC,Energy,Russell 2000
CHRD,CHORD ENERGY CORP,Energy,Russell 2000
FIX,COMFORT SYSTEMS USA INC,Industrials,Russell 2000
ELF,ELF BEAUTY INC,Consumer Staples,Russell 2000
SSD,SIMPSON MANUFACTURING INC,Industrials,Russell 2000
SPSC,SPS COMMERCE INC,Information Technology,Russell 2000
RMBS,RAMBUS INC,Information Technology,Russell 2000
PBF,PBF ENERGY INC CLASS A,Energy,Russell 2000
ONTO,ONTO INNOVATION INC,Information Technology,Russell 2000
SIGI,SELECTIVE INSURANCE GROUP INC,Financials,Russell 2000
UFPI,UFP INDUSTRIES INC,Industrials,Russell 2000
CMC,COMMERCIAL METALS,Materials,Russell 2000
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,Industrials,Russell 2000
HQY,HEALTHEQUITY INC,Health Care,Russell 2000
OPCH,OPTION CARE HEALTH INC,Health Care,Russell 2000
CIVI,CIVITAS RESOURCES INC,Energy,Russell 2000
ATKR,ATKORE INC,Industrials,Russell 2000
ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,Russell 2000
NE,NOBLE CORPORATION PLC,Energy,Russell 2000
QLYS,QUALYS INC,Information Technology,Russell 2000
ATI,ATI INC,Materials,Russell 2000
NOVT,NOVANTA INC,Information Technology,Russell 2000
PTEN,PATTERSON UTI ENERGY INC,Energy,Russell 2000
APG,API GROUP CORP,Industrials,Russell 2000
WK,WORKIVA INC CLASS A,Information Technology,Russell 2000
BRBR,BELLRING BRANDS INC,Consumer Staples,Russell 2000
HALO,HALOZYME THERAPEUTICS INC,Health Care,Russell 2000
FN,FABRINET,Information Technology,Russell 2000
SSB,SOUTHSTATE CORP,Financials,Russell 2000
ITCI,INTRA CELLULAR THERAPIES INC,Health Care,Russell 2000
TENB,TENABLE HOLDINGS INC,Information Technology,Russell 2000
ESNT,ESSENT GROUP LTD,Financials,Russell 2000
ENSG,ENSIGN GROUP INC,Health Care,Russell 2000
ALKS,ALKERMES,Health Care,Russell 2000
TRNO,TERRENO REALTY REIT CORP,Real Estate,Russell 2000
RETA,REATA PHARMACEUTICALS INC CLASS A,Health Care,Russell 2000
KRG,KITE REALTY GROUP TRUST REIT,Real Estate,Russell 2000
SM,SM ENERGY,Energy,Russell 2000
FLR,FLUOR CORP,Industrials,Russell 2000
DEN,DENBURY INC,Energy,Russell 2000
MMS,MAXIMUS INC,Industrials,Russell 2000
RHP,RYMAN HOSPITALITY PROPERTIES REIT,Real Estate,Russell 2000
WTS,WATTS WATER TECHNOLOGIES INC CLASS,Industrials,Russell 2000
TMHC,TAYLOR MORRISON HOME CORP,Consumer Discretionary,Russell 2000
ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,Russell 2000
PCVX,VAXCYTE INC,Health Care,Russell 2000
CVNA,CARVANA CLASS A,Consumer Discretionary,Russell 2000
MTH,MERITAGE CORP,Consumer Discretionary,Russell 2000
BMI,BADGER METER INC,Information Technology,Russell 2000
NEOG,NEOGEN CORP,Health Care,Russell 2000
EXLS,EXLSERVICE HOLDINGS INC,Industrials,Russell 2000
DUOL,DUOLINGO INC CLASS A,Consumer Discretionary,Russell 2000
HP,HELMERICH & PAYNE INC,Energy,Russell 2000
TRTN,TRITON INTERNATIONAL LTD,Industrials,Russell 2000
EXPO,EXPONENT INC,Industrials,Russell 2000
ONB,OLD NATIONAL BANCORP,Financials,Russell 2000
VAL,VALARIS LTD,Energy,Russell 2000
CWST,CASELLA WASTE SYSTEMS INC CLASS A,Industrials,Russell 2000
TWNK,HOSTESS BRANDS INC CLASS A,Consumer Staples,Russell 2000
HAE,HAEMONETICS CORP,Health Care,Russell 2000
POWI,POWER INTEGRATIONS INC,Information Technology,Russell 2000
FOXF,FOX FACTORY HOLDING CORP,Consumer Discretionary,Russell 2000
NSIT,INSIGHT ENTERPRISES INC,Information Technology,Russell 2000
TNET,TRINET GROUP INCINARY,Industrials,Russell 2000
HOMB,HOME BANCSHARES INC,Financials,Russell 2000
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,Russell 2000
POR,PORTLAND GENERAL ELECTRIC,Utilities,Russell 2000
LNTH,LANTHEUS HOLDINGS INC,Health Care,Russell 2000
MGY,MAGNOLIA OIL GAS CORP CLASS A,Energy,Russell 2000
AEL,AMERICAN EQUITY INVESTMENT LIFE HO,Financials,Russell 2000
FELE,FRANKLIN ELECTRIC INC,Industrials,Russell 2000
NJR,NEW JERSEY RESOURCES CORP,Utilities,Russell 2000
ZWS,ZURN ELKAY WATER SOLUTIONS CORP,Industrials,Russell 2000
BCPC,BALCHEM CORP,Materials,Russell 2000
BECN,BEACON ROOFING SUPPLY INC,Industrials,Russell 2000
ETRN,EQUITRANS MIDSTREAM CORP,Energy,Russell 2000
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,Russell 2000
AAON,AAON INC,Industrials,Russell 2000
CRC,CALIFORNIA RESOURCES CORP,Energy,Russell 2000
PECO,PHILLIPS EDISON AND COMPANY INC,Real Estate,Russell 2000
OGS,ONE GAS INC,Utilities,Russell 2000
MLI,MUELLER INDUSTRIES INC,Industrials,Russell 2000
BDC,BELDEN INC,Information Technology,Russell 2000
GATX,GATX CORP,Industrials,Russell 2000
BCC,BOISE CASCADE,Industrials,Russell 2000
ORA,ORMAT TECH INC,Utilities,Russell 2000
SUM,SUMMIT MATERIALS INC CLASS A,Materials,Russell 2000
ENS,ENERSYS,Industrials,Russell 2000
BXMT,BLACKSTONE MORTGAGE TRUST REIT CLA,Financials,Russell 2000
AEIS,ADVANCED ENERGY INDUSTRIES INC,Information Technology,Russell 2000
VLY,VALLEY NATIONAL,Financials,Russell 2000
SWX,SOUTHWEST GAS HOLDINGS INC,Utilities,Russell 2000
SLAB,SILICON LABORATORIES INC,Information Technology,Russell 2000
TEX,TEREX CORP,Industrials,Russell 2000
VC,VISTEON CORP,Consumer Discretionary,Russell 2000
IMGN,IMMUNOGEN INC,Health Care,Russell 2000
RDN,RADIAN GROUP INC,Financials,Russell 2000
MMSI,MERIT MEDICAL SYSTEMS INC,Health Care,Russell 2000
CBT,CABOT CORP,Materials,Russell 2000
ASGN,ASGN INC,Industrials,Russell 2000
MSTR,MICROSTRATEGY INC CLASS A,Information Technology,Russell 2000
PNM,PNM RESOURCES INC,Utilities,Russell 2000
UBSI,UNITED BANKSHARES INC,Financials,Russell 2000
ARRY,ARRAY TECHNOLOGIES INC,Industrials,Russell 2000
BKH,BLACK HILLS CORP,Utilities,Russell 2000
BIPC,BROOKFIELD INFRASTRUCTURE CORP CLA,Utilities,Russell 2000
ASO,ACADEMY SPORTS AND OUTDOORS INC,Consumer Discretionary,Russell 2000
ADNT,ADIENT PLC,Consumer Discretionary,Russell 2000
SKY,SKYLINE CHAMPION CORP,Consumer Discretionary,Russell 2000
CNX,CNX RESOURCES CORP,Energy,Russell 2000
FUL,HB FULLER,Materials,Russell 2000
GPI,GROUP AUTOMOTIVE INC,Consumer Discretionary,Russell 2000
PCH,POTLATCHDELTIC CORP,Real Estate,Russell 2000
CADE,CADENCE BANK,Financials,Russell 2000
FOLD,AMICUS THERAPEUTICS INC,Health Care,Russell 2000
KBH,KB HOME,Consumer Discretionary,Russell 2000
FFIN,FIRST FINANCIAL BANKSHARES INC,Financials,Russell 2000
SHLS,SHOALS TECHNOLOGIES GROUP INC CLAS,Industrials,Russell 2000
FCFS,FIRSTCASH HOLDINGS INC,Financials,Russell 2000
ACA,ARCOSA INC,Industrials,Russell 2000
GT,GOODYEAR TIRE & RUBBER,Consumer Discretionary,Russell 2000
GH,GUARDANT HEALTH INC,Health Care,Russell 2000
COOP,MR COOPER GROUP INC,Financials,Russell 2000
GKOS,GLAUKOS CORP,Health Care,Russell 2000
PR,PERMIAN RESOURCES CORP CLASS A,Energy,Russell 2000
BOX,BOX INC CLASS A,Information Technology,Russell 2000
LTHM,LIVENT CORP,Materials,Russell 2000
TGNA,TEGNA INC,Communication,Russell 2000
NARI,INARI MEDICAL INC,Health Care,Russell 2000
IRT,INDEPENDENCE REALTY INC TRUST,Real Estate,Russell 2000
FTAI,FTAI AVIATION LTD,Industrials,Russell 2000
NSP,INSPERITY INC,Industrials,Russell 2000
EPRT,ESSENTIAL PROPERTIES REALTY TRUST,Real Estate,Russell 2000
BCO,BRINKS,Industrials,Russell 2000
APPF,APPFOLIO INC CLASS A,Information Technology,Russell 2000
JBT,JOHN BEAN TECHNOLOGIES CORP,Industrials,Russell 2000
DIOD,DIODES INC,Information Technology,Russell 2000
ALTR,ALTAIR ENGINEERING INC CLASS A,Information Technology,Russell 2000
SPXC,SPX TECHNOLOGIES INC,Industrials,Russell 2000
INSM,INSMED INC,Health Care,Russell 2000
APLE,APPLE HOSPITALITY REIT INC,Real Estate,Russell 2000
HRI,HERC HOLDINGS INC,Industrials,Russell 2000
AMN,AMN HEALTHCARE INC,Health Care,Russell 2000
FRSH,FRESHWORKS INC CLASS A,Information Technology,Russell 2000
FSS,FEDERAL SIGNAL CORP,Industrials,Russell 2000
VRNS,VARONIS SYSTEMS INC,Information Technology,Russell 2000
STNE,STONECO LTD CLASS A,Financials,Russell 2000
HLNE,HAMILTON LANE INC CLASS A,Financials,Russell 2000
AVNT,AVIENT CORP,Materials,Russell 2000
HGV,HILTON GRAND VACATIONS INC,Consumer Discretionary,Russell 2000
SIG,SIGNET JEWELERS LTD,Consumer Discretionary,Russell 2000
RVMD,REVOLUTION MEDICINES INC,Health Care,Russell 2000
CRS,CARPENTER TECHNOLOGY CORP,Materials,Russell 2000
KOS,KOSMOS ENERGY LTD,Energy,Russell 2000
CNMD,CONMED CORP,Health Care,Russell 2000
SYNA,SYNAPTICS INC,Information Technology,Russell 2000
WHD,CACTUS INC CLASS A,Energy,Russell 2000
IGT,INTERNATIONAL GAME TECHNOLOGY PLC,Consumer Discretionary,Russell 2000
JXN,JACKSON FINANCIAL INC CLASS A,Financials,Russell 2000
MC,MOELIS CLASS A,Financials,Russell 2000
LANC,LANCASTER COLONY CORP,Consumer Staples,Russell 2000
HWC,HANCOCK WHITNEY CORP,Financials,Russell 2000
MQ,MARQETA INC CLASS A,Financials,Russell 2000
TDW,TIDEWATER INC,Energy,Russell 2000
CYTK,CYTOKINETICS INC,Health Care,Russell 2000
ALE,ALLETE INC,Utilities,Russell 2000
BBIO,BRIDGEBIO PHARMA INC,Health Care,Russell 2000
CEIX,CONSOL ENERGY INC,Energy,Russell 2000
VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,Russell 2000
GBCI,GLACIER BANCORP INC,Financials,Russell 2000
DOC,PHYSICIANS REALTY TRUST REIT,Real Estate,Russell 2000
MOGA,MOOG INC CLASS A,Industrials,Russell 2000
BLKB,BLACKBAUD INC,Information Technology,Russell 2000
COKE,COCA COLA CONSOLIDATED INC,Consumer Staples,Russell 2000
BPMC,BLUEPRINT MEDICINES CORP,Health Care,Russell 2000
ACAD,ACADIA PHARMACEUTICALS INC,Health Care,Russell 2000
BL,BLACKLINE INC,Information Technology,Russell 2000
NTLA,INTELLIA THERAPEUTICS INC,Health Care,Russell 2000
OTTR,OTTER TAIL CORP,Utilities,Russell 2000
SR,SPIRE INC,Utilities,Russell 2000
IBP,INSTALLED BUILDING PRODUCTS INC,Consumer Discretionary,Russell 2000
NOG,NORTHERN OIL AND GAS INC,Energy,Russell 2000
ZD,ZIFF DAVIS INC,Communication,Russell 2000
NWE,NORTHWESTERN CORP,Utilities,Russell 2000
SBRA,SABRA HEALTH CARE REIT INC,Real Estate,Russell 2000
LIVN,LIVANOVA PLC,Health Care,Russell 2000
EXTR,EXTREME NETWORKS INC,Information Technology,Russell 2000
LBRT,LIBERTY ENERGY INC CLASS A,Energy,Russell 2000
AWR,AMERICAN STATES WATER,Utilities,Russell 2000
